AREA_TITLE,PRIM_STATE,OCC_TITLE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
Connecticut,CT,Database Administrators,870,12.2,0.522,1.04,52.86,"109,950",4.9,28.20,35.14,55.00,67.36,75.42,"58,660","73,080","114,400","140,110","156,880",,
Connecticut,CT,Database Architects,650,7.5,0.392,0.99,67.60,"140,610",2.4,47.18,53.64,69.01,75.27,88.65,"98,130","111,570","143,540","156,560","184,390",,
Connecticut,CT,Data Scientists,"1,190",6.2,0.714,0.56,57.93,"120,480",2.2,26.34,36.54,54.21,74.49,94.25,"54,780","76,000","112,750","154,940","196,040",,
Delaware,DE,Database Administrators,740,4.8,1.571,3.13,50.65,"105,350",1.3,30.00,37.52,49.64,65.67,74.06,"62,400","78,040","103,240","136,590","154,030",,
Delaware,DE,Database Architects,70,13.4,0.159,0.40,73.83,"153,570",5.3,58.41,66.32,71.31,75.25,96.66,"121,490","137,950","148,320","156,530","201,050",,
Delaware,DE,Data Scientists,530,21.6,1.136,0.90,62.75,"130,520",5.5,30.97,48.88,66.72,77.27,86.82,"64,420","101,680","138,780","160,720","180,590",,
District of Columbia,DC,Database Administrators,520,12.8,0.741,1.48,55.99,"116,470",4.3,32.53,40.14,57.80,70.47,75.22,"67,670","83,480","120,220","146,580","156,460",,
District of Columbia,DC,Database Architects,560,12.4,0.803,2.04,78.35,"162,980",4.3,48.76,63.14,79.19,90.82,106.36,"101,410","131,340","164,720","188,910","221,230",,
District of Columbia,DC,Data Scientists,"3,100",19.8,4.419,3.48,61.93,"128,810",11.4,29.46,42.23,58.66,82.12,99.19,"61,280","87,840","122,010","170,800","206,320",,
Florida,FL,Database Administrators,"4,690",3.0,0.490,0.98,50.28,"104,590",1.3,24.90,33.91,49.17,64.87,73.23,"51,790","70,530","102,280","134,930","152,320",,
Florida,FL,Database Architects,"1,860",7.6,0.195,0.49,59.04,"122,790",5.2,32.25,43.03,59.60,72.18,85.45,"67,080","89,490","123,960","150,130","177,730",,
Florida,FL,Data Scientists,"8,400",5.0,0.878,0.69,51.20,"106,490",2.4,25.09,33.04,45.84,61.58,82.90,"52,180","68,730","95,360","128,090","172,440",,
Georgia,GA,Database Administrators,"2,860",4.9,0.601,1.20,51.38,"106,880",1.3,29.96,38.39,50.00,63.18,72.32,"62,330","79,850","104,000","131,420","150,420",,
Georgia,GA,Database Architects,"2,790",4.5,0.587,1.49,70.79,"147,250",1.0,43.77,60.87,74.62,84.07,85.19,"91,040","126,600","155,210","174,870","177,190",,
Georgia,GA,Data Scientists,"6,510",4.4,1.368,1.08,51.93,"108,010",1.4,29.02,36.51,48.54,64.39,79.23,"60,350","75,930","100,950","133,930","164,790",,
Hawaii,HI,Database Administrators,110,11.0,0.186,0.37,43.41,"90,300",5.0,23.73,27.12,43.51,56.38,65.99,"49,360","56,410","90,500","117,270","137,250",,
Hawaii,HI,Database Architects,50,17.1,0.079,0.20,66.20,"137,690",1.1,44.08,55.81,63.96,82.97,87.97,"91,680","116,080","133,040","172,580","182,970",,
Hawaii,HI,Data Scientists,150,12.4,0.239,0.19,60.61,"126,080",4.9,31.07,45.03,62.47,75.66,96.58,"64,620","93,660","129,930","157,370","200,880",,
Idaho,ID,Database Administrators,210,7.6,0.251,0.50,40.15,"83,500",2.5,22.38,28.50,36.34,45.98,66.67,"46,550","59,280","75,590","95,640","138,670",,
Idaho,ID,Database Architects,290,27.6,0.347,0.88,64.00,"133,130",7.2,35.48,44.10,64.23,81.54,96.15,"73,790","91,730","133,590","169,600","199,990",,
Idaho,ID,Data Scientists,710,11.6,0.867,0.68,60.67,"126,190",2.0,35.47,40.28,58.79,76.74,98.87,"73,770","83,790","122,280","159,610","205,640",,
Illinois,IL,Database Administrators,"3,370",4.7,0.561,1.12,52.24,"108,650",1.7,24.30,32.84,46.42,65.89,85.00,"50,530","68,300","96,560","137,050","176,790",,
Illinois,IL,Database Architects,"1,500",11.4,0.249,0.63,59.73,"124,240",5.9,27.05,47.56,62.02,75.14,84.49,"56,270","98,920","128,990","156,280","175,730",,
Illinois,IL,Data Scientists,"6,320",3.5,1.052,0.83,55.69,"115,840",0.9,29.96,39.42,52.20,66.13,82.00,"62,320","82,000","108,580","137,540","170,570",,
Indiana,IN,Database Administrators,"1,280",6.3,0.407,0.81,36.60,"76,130",4.2,11.48,24.03,36.53,48.94,60.40,"23,880","49,990","75,980","101,800","125,640",,
Indiana,IN,Database Architects,700,10.1,0.221,0.56,44.80,"93,180",5.6,28.13,28.13,40.40,57.38,72.11,"58,510","58,510","84,020","119,360","149,990",,
Indiana,IN,Data Scientists,"2,440",6.0,0.772,0.61,44.48,"92,520",3.1,25.24,31.25,39.24,52.51,61.70,"52,500","65,000","81,620","109,220","128,340",,
Iowa,IA,Database Administrators,410,6.2,0.268,0.54,45.14,"93,890",1.9,27.06,34.42,43.31,54.50,65.27,"56,280","71,600","90,090","113,360","135,760",,
Iowa,IA,Database Architects,400,4.2,0.261,0.66,62.82,"130,660",1.1,41.51,52.61,63.62,73.56,81.44,"86,330","109,420","132,330","153,010","169,390",,
Iowa,IA,Data Scientists,"2,270",2.6,1.472,1.16,47.38,"98,550",0.9,26.91,34.20,46.62,57.72,67.56,"55,970","71,140","96,980","120,060","140,520",,
Kansas,KS,Database Administrators,"1,070",5.2,0.761,1.52,56.57,"117,660",2.7,33.12,48.98,64.04,64.04,64.04,"68,880","101,870","133,200","133,200","133,200",,
Kansas,KS,Database Architects,440,24.5,0.310,0.79,77.80,"161,820",14.4,41.67,51.42,74.08,107.48,107.48,"86,670","106,950","154,090","223,550","223,550",,
Kansas,KS,Data Scientists,**,**,**,**,51.44,"107,000",9.0,34.24,40.00,48.85,61.06,68.67,"71,230","83,210","101,610","127,000","142,830",,
Kentucky,KY,Database Administrators,690,6.4,0.351,0.70,40.18,"83,570",2.5,21.39,27.68,37.89,50.03,62.82,"44,490","57,570","78,810","104,070","130,660",,
Kentucky,KY,Database Architects,690,9.6,0.350,0.89,47.72,"99,270",3.7,25.72,31.15,42.76,61.42,75.98,"53,490","64,790","88,930","127,750","158,030",,
Kentucky,KY,Data Scientists,"2,080",10.0,1.058,0.83,46.29,"96,290",3.1,25.16,31.53,42.69,58.51,73.60,"52,330","65,570","88,800","121,700","153,090",,
Louisiana,LA,Database Administrators,360,26.5,0.193,0.39,44.12,"91,760",8.9,23.10,33.48,44.76,53.78,56.96,"48,050","69,640","93,100","111,860","118,480",,
Louisiana,LA,Database Architects,110,17.1,0.058,0.15,49.94,"103,870",3.7,33.32,38.83,49.81,58.50,62.59,"69,310","80,770","103,600","121,670","130,190",,
